Date,BTC-USD,ETH-USD,SPY
2022-11-29,16444.982421875,1216.9012451171875,379.3017883300781
2022-11-30,17168.56640625,1295.6885986328125,391.25006103515625
2022-12-01,16967.1328125,1276.27392578125,390.96209716796875
2022-12-02,17088.66015625,1294.3033447265625,390.5111083984375
2022-12-03,16908.236328125,1243.3348388671875,
2022-12-04,17130.486328125,1280.256591796875,
2022-12-05,16974.826171875,1259.6767578125,383.4861145019531
2022-12-06,17089.50390625,1271.65380859375,377.9582214355469
2022-12-07,16848.126953125,1232.4375,377.31524658203125
2022-12-08,17233.474609375,1281.1163330078125,380.27105712890625
2022-12-09,17133.15234375,1264.2847900390625,377.4303894042969
2022-12-10,17128.724609375,1266.3841552734375,
2022-12-11,17104.193359375,1263.8685302734375,
2022-12-12,17206.4375,1274.6190185546875,382.8718566894531
2022-12-13,17781.318359375,1320.5491943359375,385.77020263671875
2022-12-14,17815.650390625,1309.3287353515625,383.3037414550781
2022-12-15,17364.865234375,1266.3538818359375,373.9274597167969
2022-12-16,16647.484375,1168.2593994140625,369.5128479003906
2022-12-17,16795.091796875,1188.1495361328125,
2022-12-18,16757.9765625,1184.7152099609375,
2022-12-19,16439.6796875,1167.60986328125,366.3794860839844
2022-12-20,16906.3046875,1217.70361328125,366.880859375
2022-12-21,16817.53515625,1213.5999755859375,372.3666076660156
2022-12-22,16830.341796875,1218.18212890625,367.0544128417969
2022-12-23,16796.953125,1220.159423828125,369.1657409667969
2022-12-24,16847.755859375,1221.1485595703125,
2022-12-25,16841.986328125,1218.9620361328125,
2022-12-26,16919.8046875,1226.974365234375,
2022-12-27,16717.173828125,1212.7916259765625,367.7099304199219
2022-12-28,16552.572265625,1189.986083984375,363.1400451660156
2022-12-29,16642.341796875,1201.5953369140625,369.6766662597656
2022-12-30,16602.5859375,1199.2327880859375,368.7030029296875
2022-12-31,16547.49609375,1196.771240234375,
2023-01-01,16625.080078125,1200.96484375,
2023-01-02,16688.470703125,1214.6566162109375,
2023-01-03,16679.857421875,1214.77880859375,367.1507568359375
2023-01-04,16863.23828125,1256.526611328125,369.98529052734375
2023-01-05,16836.736328125,1250.4385986328125,365.762451171875
2023-01-06,16951.96875,1269.3790283203125,374.1501770019531
2023-01-07,16955.078125,1264.2703857421875,
2023-01-08,17091.14453125,1287.3594970703125,
2023-01-09,17196.5546875,1321.5389404296875,373.9380798339844
2023-01-10,17446.29296875,1336.5860595703125,376.56048583984375
2023-01-11,17934.896484375,1387.9327392578125,381.3231506347656
2023-01-12,18869.587890625,1417.9384765625,382.71142578125
2023-01-13,19909.57421875,1451.6148681640625,384.1960754394531
2023-01-14,20976.298828125,1550.7069091796875,
2023-01-15,20880.798828125,1552.4794921875,
2023-01-16,21169.6328125,1576.83349609375,
2023-01-17,21161.51953125,1567.8460693359375,383.4924011230469
2023-01-18,20688.78125,1515.5069580078125,377.437744140625
2023-01-19,21086.79296875,1552.5565185546875,374.6900939941406
2023-01-20,22676.552734375,1659.754150390625,381.67022705078125
2023-01-21,22777.625,1627.1181640625,
2023-01-22,22720.416015625,1628.382080078125,
2023-01-23,22934.431640625,1628.2510986328125,386.24969482421875
2023-01-24,22636.46875,1556.604248046875,385.8351135253906
2023-01-25,23117.859375,1611.7110595703125,385.9797668457031
2023-01-26,23032.77734375,1603.10595703125,390.2218017578125
2023-01-27,23078.728515625,1598.156494140625,391.11846923828125
2023-01-28,23031.08984375,1572.43505859375,
2023-01-29,23774.56640625,1646.1556396484375,
2023-01-30,22840.138671875,1567.3265380859375,386.2110900878906
2023-01-31,23139.283203125,1586.535400390625,391.8897705078125
2023-02-01,23723.76953125,1641.792724609375,396.05462646484375
2023-02-02,23471.87109375,1643.2415771484375,401.82000732421875
2023-02-03,23449.322265625,1664.74560546875,397.5490417480469
2023-02-04,23331.84765625,1667.0592041015625,
2023-02-05,22955.666015625,1631.6458740234375,
2023-02-06,22760.109375,1616.2470703125,395.1194763183594
2023-02-07,23264.291015625,1672.0035400390625,400.28704833984375
